Date,date,spy_price,spy_return,vix,prob,actual_crash,signal,stock_balance,has_active_option,option_start_idx,option_expiry_idx,strike_price,option_price,option_cost,option_exist_dollar_return,option_balance,cash_balance,exit_type,strategy_balance,strategy_return,cum_strategy_dollar_return,cum_strategy_return,benchmark_balance,cum_benchmark_dollar_return,cum_benchmark_return,benchmark_return,strategy_peak,benchmark_peak,strategy_drawdown,benchmark_drawdown
2023-12-28,2023-12-28,469.24,,12.47,0.1292931290163124,0.0,0,469.24,False,-1,-1,,,,,0.0,0.0,,469.24,0.0,0.0,0.0,469.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-29,2023-12-29,467.88,-0.002898303639928379,12.45,0.0792931290163124,0.0,0,467.88,False,-1,-1,,,,,0.0,0.0,,467.88,-0.002898303639928379,-1.3600000000000136,-0.0028983036399284237,467.88,-1.3600000000000136,-0.0028983036399284237,-0.002898303639928379,0.0,0.0,-0.0028983036399284237,-0.0028983036399284237
2024-01-02,2024-01-02,465.26,-0.005599726425579266,13.2,0.0792931290163124,0.0,0,465.26,False,-1,-1,,,,,0.0,0.0,,465.26,-0.005599726425579266,-3.980000000000018,-0.008481800358025782,465.26,-3.980000000000018,-0.008481800358025782,-0.005599726425579266,0.0,0.0,-0.008481800358025782,-0.008481800358025782
2024-01-03,2024-01-03,461.46,-0.008167476249838823,14.04,0.09,0.0,0,461.46,False,-1,-1,,,,,0.0,0.0,,461.46,-0.008167476249838823,-7.78000000000003,-0.016580001704884557,461.46,-7.78000000000003,-0.016580001704884557,-0.008167476249838823,0.0,0.0,-0.016580001704884557,-0.016580001704884557
2024-01-04,2024-01-04,459.98,-0.0032072118926883553,14.13,0.09,0.0,0,459.98,False,-1,-1,,,,,0.0,0.0,,459.98,-0.0032072118926883553,-9.259999999999991,-0.019734038018924198,459.98,-9.259999999999991,-0.019734038018924198,-0.0032072118926883553,0.0,0.0,-0.019734038018924198,-0.019734038018924198
2024-01-05,2024-01-05,460.61,0.0013696247662942085,13.35,0.1,0.0,0,460.61,False,-1,-1,,,,,0.0,0.0,,460.61,0.0013696247662942085,-8.629999999999995,-0.018391441479839732,460.61,-8.629999999999995,-0.018391441479839732,0.0013696247662942085,0.0,0.0,-0.018391441479839732,-0.018391441479839732
2024-01-08,2024-01-08,467.18,0.014263693797355703,13.08,0.09,0.0,0,467.18,False,-1,-1,,,,,0.0,0.0,,467.18,0.014263693797355703,-2.0600000000000023,-0.004390077572244485,467.18,-2.0600000000000023,-0.004390077572244485,0.014263693797355703,0.0,0.0,-0.004390077572244485,-0.004390077572244485
2024-01-09,2024-01-09,466.48,-0.0014983518130056162,12.76,0.11,0.0,0,466.48,False,-1,-1,,,,,0.0,0.0,,466.48,-0.0014983518130056162,-2.759999999999991,-0.0058818515045605466,466.48,-2.759999999999991,-0.0058818515045605466,-0.0014983518130056162,0.0,0.0,-0.0058818515045605466,-0.0058818515045605466
2024-01-10,2024-01-10,469.11,0.00563796947350359,12.69,0.08,0.0,0,469.11,False,-1,-1,,,,,0.0,0.0,,469.11,0.00563796947350359,-0.12999999999999545,-0.0002770437302872633,469.11,-0.12999999999999545,-0.0002770437302872633,0.00563796947350359,0.0,0.0,-0.0002770437302872633,-0.0002770437302872633
2024-01-11,2024-01-11,468.91,-0.00042633923813173435,12.44,0.06,0.0,0,468.91,False,-1,-1,,,,,0.0,0.0,,468.91,-0.00042633923813173435,-0.3299999999999841,-0.0007032648538061207,468.91,-0.3299999999999841,-0.0007032648538061207,-0.00042633923813173435,0.0,0.0,-0.0007032648538061207,-0.0007032648538061207
2024-01-12,2024-01-12,469.23,0.000682433729287002,12.7,0.1,0.0,0,469.23,False,-1,-1,,,,,0.0,0.0,,469.23,0.000682433729287002,-0.009999999999990905,-2.1311056175924697e-05,469.23,-0.009999999999990905,-2.1311056175924697e-05,0.000682433729287002,0.0,0.0,-2.1311056175924697e-05,-2.1311056175924697e-05
2024-01-16,2024-01-16,467.51,-0.0036655797796389944,13.84,0.0592931290163124,0.0,0,467.51,False,-1,-1,,,,,0.0,0.0,,467.51,-0.0036655797796389944,-1.7300000000000182,-0.0036868127184383646,467.51,-1.7300000000000182,-0.0036868127184383646,-0.0036655797796389944,0.0,0.0,-0.0036868127184383646,-0.0036868127184383646
2024-01-17,2024-01-17,464.91,-0.005561378366238046,14.79,0.06,0.0,0,464.91,False,-1,-1,,,,,0.0,0.0,,464.91,-0.005561378366238046,-4.329999999999984,-0.009227687324183753,464.91,-4.329999999999984,-0.009227687324183753,-0.005561378366238046,0.0,0.0,-0.009227687324183753,-0.009227687324183753
2024-01-18,2024-01-18,469.04,0.008883439805553728,14.13,0.08,0.0,0,469.04,False,-1,-1,,,,,0.0,0.0,,469.04,0.008883439805553728,-0.19999999999998863,-0.00042622112351885737,469.04,-0.19999999999998863,-0.00042622112351885737,0.008883439805553728,0.0,0.0,-0.00042622112351885737,-0.00042622112351885737
2024-01-19,2024-01-19,474.89,0.01247228381374721,13.3,0.08,0.0,0,474.89,False,-1,-1,,,,,0.0,0.0,,474.89,0.01247228381374721,5.649999999999977,0.012040746739408357,474.89,5.649999999999977,0.012040746739408357,0.01247228381374721,0.012040746739408357,0.012040746739408357,0.0,0.0
